final_t_O1,final_t_O2,final_t_O3,final_dt_O2_O1,final_dt_O3_O1,final_dt_O3_O2,num_horizon_O2_O1,num_horizon_O3_O1,num_horizon_O3_O2,runtime_sec,noise_level,run_index
74.09846860190311,12674.443274664245,40071.897687474935,12600.344806062341,39997.799218873035,27397.45441281069,4,4,4,0.048865318298339844,0.08293780906033482,144
74.09942867410372,12674.443449459864,40071.89762587365,12600.34402078576,39997.79819719955,27397.454176413787,4,4,4,0.04949450492858887,0.014301808472117273,145
74.10056473533382,12674.443272461154,40071.897611628636,12600.34270772582,39997.797046893305,27397.45433916748,4,4,4,0.04835391044616699,0.0388082039038013,146
74.091304701421,12674.443342311473,40071.89714919592,12600.352037610053,39997.8058444945,27397.45380688444,4,4,4,0.04718732833862305,0.0876841574158094,147
74.09936067275261,12674.44330519617,40071.898440228986,12600.343944523416,39997.79907955624,27397.45513503282,4,4,4,0.04762983322143555,0.08615526633593062,148
74.10374352430844,12674.443501856793,40071.89780812054,12600.339758332484,39997.79406459624,27397.45430626375,4,4,4,0.05138134956359863,0.044150766281011944,149
74.10500282633751,12674.443708428074,40071.89798509713,12600.338705601736,39997.792982270796,27397.454276669057,4,4,4,0.050382375717163086,0.055881022128222727,150
74.09908610045368,12674.443459432325,40071.89772975819,12600.34437333187,39997.798643657734,27397.454270325863,4,4,4,0.0613713264465332,0.040415772287351416,151
74.09933686291893,12674.443608788337,40071.89765900734,12600.344271925418,39997.79832214442,27397.454050219007,4,4,4,0.049196720123291016,0.046021806713559335,152
74.09799284556206,12674.443360642235,40071.897774702535,12600.345367796674,39997.79978185697,27397.4544140603,4,4,4,0.04822349548339844,0.051331622446681595,153
74.0975983999441,12674.443705063772,40071.89757010965,12600.346106663828,39997.799971709705,27397.453865045878,4,4,4,0.04783225059509277,0.0910396904769142,154
74.10605197056155,12674.443144909234,40071.898367091824,12600.337092938673,39997.79231512126,27397.45522218259,4,4,4,0.048447370529174805,0.09506993764461669,155
74.09889696095158,12674.443284944524,40071.89749068684,12600.344387983572,39997.798593725885,27397.454205742317,4,4,4,0.052130699157714844,0.04096536920175643,156
74.09484623485268,12674.443515037394,40071.89735958024,12600.34866880254,39997.802513345385,27397.453844542844,4,4,4,0.052059173583984375,0.025497993462973614,157
74.08736865588625,12674.443378304391,40071.89723334232,12600.356009648505,39997.80986468644,27397.45385503793,4,4,4,0.04944348335266113,0.07686056736534931,158
74.1038608866121,12674.443310479208,40071.898367077,12600.339449592595,39997.79450619039,27397.455056597795,4,4,4,0.04858136177062988,0.06287119550309071,159
74.09646128014258,12674.443323858059,40071.89747883748,12600.346862577917,39997.80101755734,27397.454154979423,4,4,4,0.04948997497558594,0.036979222970647284,160
74.09391076759545,12674.443622032097,40071.89737911512,12600.349711264502,39997.80346834753,27397.453757083025,4,4,4,0.04759478569030762,0.05723777563580493,161
74.10462942069326,12674.443210204381,40071.898151918096,12600.338580783688,39997.793522497406,27397.454941713717,4,4,4,0.049120187759399414,0.08013631992828561,162
74.10307653880221,12674.444218413064,40071.89797480303,12600.341141874262,39997.794898264234,27397.45375638997,4,4,4,0.048441410064697266,0.09223917270871801,163
74.09898142743425,12674.443500715235,40071.89755803345,12600.3445192878,39997.798576606016,27397.454057318217,4,4,4,0.049126625061035156,0.007575500966783189,164
74.09577529685076,12674.443419588142,40071.8975217531,12600.34764429129,39997.80174645624,27397.454102164957,4,4,4,0.04857158660888672,0.048994937837688816,165
74.0962463964729,12674.443589541761,40071.8975243147,12600.347343145288,39997.801277918225,27397.453934772937,4,4,4,0.04785752296447754,0.04022898104162338,166
74.10069270225317,12674.443542881512,40071.89767624491,12600.342850179259,39997.796983542656,27397.454133363397,4,4,4,0.048085689544677734,0.010855080477961056,167
